runner-start	stage_runner_start	1
005-wait-prereqs	stage_005_wait_prereqs	3
006-clean-windows-live-boot	stage_006_clean_windows_live_boot	5
010-read-config	stage_010_read_config	10
020-detect-disk	stage_020_detect_disk	14
025-live-preflight	stage_025_live_preflight	16
027-windows-live-boot-cleaned	stage_027_windows_live_boot_cleaned	17
030-check-installer-iso	stage_030_check_installer_iso	18
035-umount-windows	stage_035_umount_windows	22
040-unmount-target-disk	stage_040_unmount_target_disk	26
050-assert-live-detached	stage_050_assert_live_detached	30
055-normalize-mbr-linux-slot	stage_055_normalize_mbr_linux_slot	32
060-set-linux-partition-type	stage_060_linux_partition	34
070-wipefs-live-part	stage_070_wipefs_live_part	38
080-mkfs-ext4	stage_080_mkfs_ext4	42
090-mount-target	stage_090_mount_target	46
100-remount-windows-ro	stage_100_remount_windows_ro	50
105-verify-installer-iso	stage_030_check_installer_iso	52
110-loop-mount-installer-iso	stage_110_loop_mount_installer_iso	54
120-unsquashfs	stage_120_unsquashfs	54	76
130-target-system-config	stage_130_target_system_config	76
140-install-bootloader	stage_140_install_bootloader	90
150-final-verify	stage_150_final_verify	98
installer-success	stage_installer_success	100
